Open time,Open,High,Low,Close,Volume
2021-06-21 00:00:00,1005.2,1010.5,967.8,986.2,203.049
2021-06-21 04:00:00,986.2,1044.4,951.5,1027.4,3147.69
2021-06-21 08:00:00,1027.3,1072.0,1013.0,1047.0,5182.794
2021-06-21 12:00:00,1047.0,1055.0,1013.5,1020.1,4004.342
2021-06-21 16:00:00,1020.2,1067.1,1018.4,1053.3,4223.479
2021-06-21 20:00:00,1053.3,1135.0,1041.6,1106.5,4824.2
2021-06-22 00:00:00,1106.6,1138.0,1061.6,1075.1,4000.918
2021-06-22 04:00:00,1074.3,1127.1,1059.4,1095.9,4838.693
2021-06-22 08:00:00,1095.9,1155.4,1092.9,1128.9,5195.996
2021-06-22 12:00:00,1128.9,1154.0,1079.3,1100.5,6958.606
2021-06-22 16:00:00,1100.7,1126.0,1090.0,1113.4,3087.976
2021-06-22 20:00:00,1113.3,1145.0,1110.0,1137.3,2698.136
2021-06-23 00:00:00,1137.3,1154.6,1100.1,1101.3,3551.704
2021-06-23 04:00:00,1101.3,1112.8,1071.1,1082.3,2935.316
2021-06-23 08:00:00,1082.3,1116.0,1081.4,1104.6,2623.097
2021-06-23 12:00:00,1104.7,1108.9,1076.0,1080.8,2482.999
2021-06-23 16:00:00,1080.8,1104.1,1080.5,1104.1,1786.997
2021-06-23 20:00:00,1104.0,1110.2,1090.0,1091.0,1831.8
2021-06-24 00:00:00,1090.9,1099.0,1081.1,1085.7,1931.837
2021-06-24 04:00:00,1085.8,1086.0,1065.0,1066.5,2071.645
2021-06-24 08:00:00,1066.5,1082.9,1057.6,1080.0,2140.62
2021-06-24 12:00:00,1080.2,1106.1,1071.4,1072.6,2747.172
2021-06-24 16:00:00,1072.6,1081.6,1061.2,1080.3,1905.39
2021-06-24 20:00:00,1080.3,1094.4,1076.6,1093.4,1576.49
2021-06-25 00:00:00,1094.4,1105.0,1084.8,1086.8,1430.072
2021-06-25 04:00:00,1086.8,1101.4,1081.0,1097.5,2030.365
2021-06-25 08:00:00,1097.3,1114.4,1096.5,1104.7,2280.791
2021-06-25 12:00:00,1104.5,1112.1,1094.4,1105.0,2126.257
2021-06-25 16:00:00,1104.8,1108.2,1089.3,1091.0,2040.208
2021-06-25 20:00:00,1090.7,1092.5,1070.2,1080.2,2215.253
2021-06-26 00:00:00,1080.2,1099.5,1079.5,1091.1,1586.121
2021-06-26 04:00:00,1091.0,1100.0,1090.3,1096.1,1428.436
2021-06-26 08:00:00,1096.1,1101.4,1090.3,1096.7,1617.156
2021-06-26 12:00:00,1096.9,1101.1,1091.6,1100.0,1571.753
2021-06-26 16:00:00,1099.9,1109.0,1098.1,1101.4,1448.141
2021-06-26 20:00:00,1101.4,1105.8,1098.3,1101.0,1568.981
2021-06-27 00:00:00,1101.0,1101.1,1086.6,1096.0,1279.983
2021-06-27 04:00:00,1096.2,1119.0,1091.7,1115.2,1104.55
2021-06-27 08:00:00,1115.2,1127.0,1110.0,1125.1,1442.484
